customer_id,age,gender,tenure,num_claims,claim_amount_total,policy_type,premium,payment_method,region,previous_renewals,satisfaction_score,has_complaint,churn
100000,69,F,11,0,4938.02,standard,3529.77,bank_transfer,north,11,6.1,0,0
100001,32,F,19,1,10964.47,standard,3683.85,credit_card,west,18,5.6,0,0
100002,78,M,17,1,4429.39,standard,3098.16,cash,north,16,7.3,0,0
100003,38,M,15,0,2134.26,basic,2360.98,credit_card,west,13,3.9,0,0
100004,41,M,2,2,9368.91,standard,2814.52,credit_card,south,3,4.6,0,0
100005,20,M,8,0,3355.73,standard,4126.27,bank_transfer,west,9,7.8,0,0
100006,39,F,6,0,8509.72,standard,3422.32,credit_card,west,6,7.5,0,0
100007,70,F,18,0,7308.6,standard,3190.01,credit_card,south,18,6.3,0,0
100008,19,F,4,1,291.0,premium,4899.46,bank_transfer,east,3,7.2,0,0
100009,47,M,18,1,2876.53,standard,3857.41,bank_transfer,north,19,5.6,0,0
100010,55,M,9,0,554.81,basic,2717.08,credit_card,west,7,8.8,0,0
100011,19,M,19,0,3901.31,standard,3640.51,credit_card,south,19,8.6,0,0
100012,81,M,11,0,4346.88,standard,2647.22,bank_transfer,east,10,5.2,0,0
100013,77,F,7,1,5074.6,basic,3589.83,cash,west,9,4.8,0,0
100014,38,M,2,1,6093.13,basic,3009.89,bank_transfer,south,4,9.3,0,0
100015,50,M,18,0,1510.36,standard,3744.6,credit_card,north,20,6.5,0,0
100016,75,M,10,0,4092.34,standard,3020.44,credit_card,north,12,8.5,0,0
100017,39,M,7,0,5049.52,premium,5934.75,cash,east,7,6.4,0,0
100018,66,M,12,0,9920.87,standard,3343.83,cash,south,13,6.2,0,1
100019,76,F,9,1,4051.84,basic,3408.56,credit_card,east,10,6.0,1,0
100020,59,M,17,2,11986.62,basic,3793.12,bank_transfer,east,18,6.7,0,0
100021,77,F,11,0,6104.72,basic,3917.87,credit_card,north,9,7.3,0,0
100022,32,M,6,2,9161.66,standard,3020.11,credit_card,north,4,3.7,0,0
100023,79,M,10,0,4325.13,basic,3260.69,credit_card,west,11,5.8,0,0
100024,79,F,9,0,894.13,basic,3332.38,credit_card,east,9,6.0,0,0
100025,64,M,2,2,1290.17,basic,3535.07,credit_card,north,4,5.9,0,0
100026,79,F,6,0,17375.43,basic,3479.13,credit_card,west,8,7.7,0,0
100027,68,M,3,0,2863.38,basic,2341.94,credit_card,north,4,6.9,0,0
100028,72,M,7,0,2769.44,standard,2584.8,credit_card,south,6,4.8,0,0
100029,81,F,7,1,8931.82,basic,3430.67,credit_card,east,7,7.0,1,0
100030,20,F,5,0,7467.89,basic,3777.86,credit_card,north,4,6.4,0,0
100031,68,F,12,1,6378.69,premium,5047.26,credit_card,west,11,8.9,0,0
100032,24,F,11,1,10239.07,standard,3453.73,credit_card,west,11,6.2,0,0
100033,38,M,2,0,8610.52,standard,2849.37,credit_card,west,2,6.2,0,0
100034,56,F,5,1,6365.98,basic,3158.56,bank_transfer,north,3,5.7,1,1
100035,35,F,18,0,3030.78,basic,3055.39,bank_transfer,north,16,7.9,0,0
100036,21,M,10,0,6494.38,standard,2984.63,credit_card,north,12,5.2,0,0
100037,77,M,3,0,3553.94,basic,3001.99,credit_card,north,1,5.6,0,0
100038,31,F,14,1,11036.2,basic,3382.34,bank_transfer,north,13,6.0,0,0
100039,26,M,1,2,8906.54,standard,3623.55,credit_card,west,1,6.9,0,0
100040,70,M,14,0,107.71,basic,2952.69,bank_transfer,east,16,7.0,0,0
100041,19,F,16,0,7397.19,standard,3907.92,credit_card,south,14,7.0,1,0
100042,77,M,1,0,1228.3,basic,3304.32,cash,west,3,7.9,0,1
100043,61,M,6,0,2499.42,basic,2862.66,credit_card,south,7,5.5,0,0
100044,25,F,15,1,7106.5,standard,3027.66,cash,east,13,7.5,0,0
100045,64,M,4,1,3238.95,standard,2596.07,credit_card,north,6,7.7,0,0
100046,52,F,15,0,894.65,standard,2974.16,bank_transfer,north,15,9.2,0,0
100047,53,M,18,0,1125.9,basic,2755.81,credit_card,east,17,10.0,0,0
100048,67,M,1,0,6722.04,basic,3021.6,credit_card,west,1,7.8,0,0
100049,21,M,14,0,2216.9,basic,3106.97,credit_card,north,15,8.4,0,0
100050,19,F,3,1,8749.75,standard,2770.99,bank_transfer,south,1,5.6,0,0
100051,23,M,1,0,862.06,basic,3503.87,cash,south,2,7.9,0,1
100052,71,M,9,1,1369.99,standard,3239.28,bank_transfer,east,8,9.3,0,0
100053,21,M,4,0,7507.11,standard,3199.52,bank_transfer,north,2,4.8,1,0
100054,71,M,17,3,1139.59,standard,3751.21,credit_card,north,15,7.2,1,1
100055,80,M,3,2,2238.38,basic,2595.99,credit_card,north,2,6.8,0,0
100056,35,M,0,4,10950.86,basic,2924.74,bank_transfer,north,1,6.2,0,0
100057,61,M,17,1,12523.51,basic,3770.18,credit_card,south,17,7.2,0,0
100058,51,M,19,3,8340.96,basic,2801.7,bank_transfer,south,18,3.4,0,1
100059,79,F,5,1,1790.39,basic,3226.45,credit_card,north,7,3.7,0,0
100060,31,F,19,2,474.74,premium,5970.87,bank_transfer,east,19,6.6,0,0
100061,65,M,19,0,1985.0,premium,4649.04,credit_card,east,17,5.4,0,0
100062,32,M,13,1,6707.39,basic,3852.32,bank_transfer,south,12,9.0,0,0
100063,79,F,9,0,2730.4,basic,3490.86,credit_card,east,8,5.5,1,0
100064,57,F,17,0,2473.93,basic,3415.19,cash,south,19,8.6,0,0
100065,70,M,8,0,1702.72,standard,3619.64,bank_transfer,south,9,7.5,0,0
100066,41,F,11,3,10049.25,premium,5368.6,credit_card,west,13,7.1,0,0
100067,43,M,9,1,2952.72,standard,2789.75,bank_transfer,east,11,5.1,0,0
100068,77,M,18,1,8319.68,standard,3191.5,credit_card,west,19,9.4,0,0
100069,58,M,5,0,1522.44,standard,3066.26,credit_card,west,3,7.0,0,0
100070,46,F,13,1,17099.25,basic,3504.18,credit_card,north,12,9.6,0,0
100071,32,M,7,2,2683.02,basic,2852.39,credit_card,north,7,6.7,0,0
100072,62,F,13,1,9398.78,standard,3328.77,bank_transfer,south,11,5.4,0,0
100073,82,M,10,0,3116.11,standard,3218.83,credit_card,west,8,7.9,0,0
100074,26,M,15,0,2616.87,standard,3365.5,credit_card,north,13,8.3,0,0
100075,18,M,19,0,7462.1,premium,5674.26,bank_transfer,south,19,6.9,0,0
100076,25,F,5,0,1344.4,standard,2922.05,credit_card,west,4,7.7,0,0
100077,80,M,14,0,3977.15,basic,2904.79,credit_card,west,12,8.4,0,0
100078,28,M,14,0,2307.71,basic,3210.78,credit_card,north,16,5.5,0,0
100079,25,M,13,0,6100.9,standard,2633.21,credit_card,south,13,6.0,0,0
100080,52,F,11,1,13371.36,basic,3428.35,credit_card,west,12,4.8,0,0
100081,52,M,1,0,4675.52,standard,3214.57,credit_card,west,0,9.7,1,0
100082,50,M,7,0,3730.82,basic,3218.96,credit_card,east,9,6.4,0,0
100083,22,M,18,0,2229.44,premium,4842.14,credit_card,north,18,10.0,0,0
100084,58,F,13,3,7311.7,premium,4878.35,credit_card,west,13,6.0,0,0
100085,45,F,4,2,708.83,basic,3732.51,bank_transfer,west,5,2.7,0,0
100086,24,F,8,1,156.03,standard,3057.37,bank_transfer,south,8,7.6,0,0
100087,29,M,12,1,11601.41,premium,5535.15,credit_card,west,11,7.8,0,0
100088,51,M,8,1,3831.55,basic,4209.79,bank_transfer,west,10,6.1,0,0
100089,50,F,13,3,50.15,standard,3140.74,credit_card,east,13,5.3,1,0
100090,65,M,4,1,2664.3,standard,3278.98,credit_card,east,5,8.5,0,0
100091,40,M,1,1,6800.36,basic,2988.82,credit_card,east,0,6.5,0,1
100092,79,M,6,0,3058.5,basic,3382.49,credit_card,east,6,6.5,0,1
100093,54,F,15,0,4332.84,standard,3507.75,credit_card,west,13,3.8,0,0
100094,61,M,10,0,11531.65,standard,3408.32,cash,north,8,8.2,0,0
100095,52,F,10,1,8366.88,standard,3797.32,credit_card,west,11,6.7,0,0
100096,82,F,11,1,10486.04,basic,2929.67,bank_transfer,north,9,6.8,0,0
100097,64,M,12,1,5437.21,standard,3318.04,credit_card,north,10,7.5,1,0
100098,20,M,7,1,7880.5,standard,3119.55,credit_card,west,6,7.1,0,0
100099,18,F,15,1,54.07,standard,2885.2,cash,west,14,4.6,1,0
100100,22,F,0,2,8729.32,standard,3069.95,credit_card,west,2,5.2,0,0
100101,31,F,12,1,11302.59,basic,3699.2,credit_card,north,14,6.9,0,0
100102,44,F,10,0,3098.7,basic,2619.27,credit_card,south,12,7.1,1,1
100103,26,M,3,0,87.45,standard,3466.94,credit_card,east,2,4.2,1,0
100104,32,F,3,0,8674.84,premium,5226.57,bank_transfer,south,2,6.5,0,0
100105,59,M,14,2,1047.21,basic,3649.08,credit_card,south,13,7.8,0,0
100106,68,F,2,1,14955.07,standard,3054.17,bank_transfer,north,0,1.3,0,0
100107,80,F,18,0,3676.42,basic,4559.57,bank_transfer,east,20,3.2,0,0
100108,69,F,1,1,4485.05,standard,3190.12,credit_card,east,0,6.2,1,1
100109,21,F,5,1,5754.51,basic,3187.78,credit_card,east,7,6.8,1,0
100110,40,F,7,2,12066.53,standard,3177.42,bank_transfer,west,8,5.7,0,0
100111,32,M,16,1,9129.11,basic,3014.7,credit_card,west,14,7.8,0,0
100112,60,F,4,0,2184.88,basic,2971.35,credit_card,south,6,10.0,0,1
100113,46,M,1,0,2756.99,basic,2846.83,credit_card,north,1,8.3,0,0
100114,53,M,11,0,7616.25,standard,3461.19,credit_card,west,12,4.2,0,0
100115,30,M,4,0,7735.09,basic,3471.47,bank_transfer,west,2,5.7,0,0
100116,49,M,9,1,730.54,basic,3624.56,credit_card,south,7,6.6,0,0
100117,76,F,8,4,4476.13,standard,3012.32,credit_card,west,8,2.5,0,1
100118,45,F,19,1,7726.67,basic,2842.91,credit_card,north,18,7.2,0,0
100119,83,M,7,1,879.89,basic,3443.4,credit_card,south,7,7.4,0,0
100120,59,M,0,0,1522.98,standard,2665.84,credit_card,north,0,3.8,0,1
100121,62,M,5,1,1252.92,standard,3580.95,credit_card,east,3,6.7,0,0
100122,79,F,10,2,877.45,basic,3417.65,credit_card,south,9,6.5,0,0
100123,74,M,2,0,7347.13,basic,3284.05,bank_transfer,north,2,5.1,0,0
100124,23,F,14,0,330.31,basic,3022.86,credit_card,east,16,6.6,0,0
100125,45,F,10,0,4740.62,premium,5075.77,credit_card,west,11,8.3,0,0
100126,45,M,4,0,607.78,standard,2892.73,credit_card,east,2,6.1,0,0
100127,61,F,15,1,3456.5,standard,3743.18,credit_card,north,16,8.1,1,1
100128,47,F,6,1,2574.16,standard,2741.35,bank_transfer,west,6,4.9,0,0
100129,79,F,5,2,4363.3,premium,5478.55,credit_card,east,6,6.1,0,0
100130,79,M,8,2,887.8,premium,5522.8,credit_card,east,10,6.0,0,0
100131,18,M,6,0,4204.05,basic,3061.81,credit_card,south,8,6.7,0,1
